change_type,category,area_ha,centroid_longitude,centroid_latitude,vector_scale_m
Gain terbesar,gain,2129.5648582673307,110.25394492295194,-0.7145040900340598,50
Loss terbesar,loss,1893.4099008126293,109.95914734882088,-0.5878373753828495,50
